as_of_date,vvti_output_usd_per_mtok,vvti_input_usd_per_mtok,open_weight_output_usd_per_mtok,coverage_pct,n_models,settled,computed_on,methodology_version
2026-08-21,9.47172284,1.91782393,2.42620308,50.60820000,8,True,2026-09-12,v2.3.3
2026-08-22,8.18130485,1.69327633,2.18172708,50.19660000,8,True,2026-09-12,v2.3.3
2026-08-23,8.72101838,1.76291746,1.76305398,45.73990000,8,True,2026-09-12,v2.3.3
2026-08-24,9.86707870,2.01271223,2.17940773,50.57920000,8,True,2026-09-12,v2.3.3
2026-08-25,10.08741573,2.05648100,4.46596818,46.94670000,8,True,2026-09-12,v2.3.3
2026-08-26,9.36277529,1.91008430,4.99569376,43.43310000,8,True,2026-09-12,v2.3.3
2026-08-27,6.78441604,1.39508384,1.45414055,46.92870000,8,True,2026-09-12,v2.3.3
2026-08-28,8.02601362,1.60780440,1.06244297,45.65080000,8,True,2026-09-12,v2.3.3
2026-08-29,6.12557724,1.22771369,1.05273562,41.73110000,7,True,2026-09-12,v2.3.3
2026-08-30,5.90426327,1.22428014,1.41588239,41.69390000,8,True,2026-09-12,v2.3.3
2026-08-31,8.74058095,1.75108940,0.98776862,42.30990000,8,True,2026-09-12,v2.3.3
2026-09-01,10.66435082,2.12912410,4.25817045,38.20070000,8,True,2026-09-12,v2.3.3
2026-09-02,10.38321890,2.07108943,4.47122954,39.25740000,8,True,2026-09-12,v2.3.3
2026-09-03,10.71052493,2.13313258,5.69515893,38.50390000,8,True,2026-09-12,v2.3.3
2026-09-04,10.57989194,2.10660845,4.60650019,38.78660000,8,True,2026-09-12,v2.3.3
2026-09-05,6.46327331,1.27880087,4.64138707,32.40690000,6,True,2026-09-12,v2.3.3
2026-09-06,4.49497266,0.88114854,0.89564509,33.08830000,6,True,2026-09-12,v2.3.3
2026-09-07,7.53262030,1.49279775,0.82022152,35.80700000,7,True,2026-09-12,v2.3.3
2026-09-08,8.35440155,1.65770490,0.80792811,38.34240000,7,True,2026-09-12,v2.3.3
2026-09-09,6.69373362,1.32674493,0.76101987,36.71670000,7,True,2026-09-12,v2.3.3
2026-09-10,3.46372075,0.72843528,1.13299915,76.47490000,10,True,2026-09-12,v2.3.3
2026-09-11,3.45836664,0.73143518,1.74652931,81.81540000,10,True,2026-09-12,v2.3.3
