as_of_date,cycle_hour,chip_slug,n_sources,n_count_sources,idle_gpus_observable,gpuw_pct_source_equal,methodology_version
2026-08-18,2026-08-18T18:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-18,2026-08-18T21:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-18,2026-08-19T00:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-18,2026-08-19T03:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-19,2026-08-19T06:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-19T09:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-19T12:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-19T15:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-19T18:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-19T21:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-20T00:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-19,2026-08-20T03:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-20T06:00:00+00:00,gb200,1,1,0,0.0,v2.3.1
2026-08-20,2026-08-20T09:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-20T12:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-20T15:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-20T18:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-20T21:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-21T00:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-20,2026-08-21T03:00:00+00:00,gb200,1,0,,0.0,v2.3.1
2026-08-21,2026-08-21T06:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T09:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T11:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T12:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T13:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T14:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T15:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T18:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-21T21:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-22T00:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-21,2026-08-22T03:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-22T06:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-22T09:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-22T12:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-22T15:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-22T18:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-22T21:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-23T00:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-22,2026-08-23T03:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-23T06:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-23T09:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-23T12:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-23T15:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-23T18:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-23T21:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-24T00:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-23,2026-08-24T03:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-24T06:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-24T09:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-24T12:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-24T15:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-24T18:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-24T21:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-25T00:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-24,2026-08-25T03:00:00+00:00,gb200,1,0,,0.0,v2.3.2
2026-08-25,2026-08-25T06:00:00+00:00,gb200,1,0,,0.0,v2.3.2
