as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45894724,145487,611393,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.25,0.09555555555555556,0.09333333333333334,0.38222222222222224,False,0.19999999999999998,2.6666666666666665,4.0,0.003888888888888889,44.57765336254552,466.5103258871042,35.518464,266.22191780790047,unverified,0.9382946,True,False,0,False,1692.5,587.0,True,300.0,803.3,860,0.0,4.0,48,32161,3049.0113419172803,325.25,"France, FR",595.71.05,2665652.5633499622
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45714012,145240,125418,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.25,0.09555555555555556,0.08,0.38222222222222224,False,0.19999999999999998,0.013333333333333334,0.013333333333333334,0.003888888888888889,45.097597513130324,471.9516018815964,35.770368,222.45287893135827,deverified,0.9544255,True,False,0,False,205.0,190.7,True,390.0,824.5,860,0.0,3.0,72,32157,4501.0,785.025,", CN",570.133.07,20562585.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,44579222,137041,410852,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,0.25,0.1962962962962963,0.16,0.3925925925925926,False,0.8666666666666666,16.0,17.333333333333332,0.003888888888888889,83.0721855662111,423.1979264693773,70.53312,309.6081241952738,verified,0.9927127,False,False,0,False,1391.3,809.2,False,260.0,805.5,860,0.0,3.0,72,64449,1873.0,242.49985912581076,", US",580.159.03,13892856.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,31013676,37217,3497,,RTX 3090,3090-pcie-24gb,3090,PCIe,4,0.6666666666666666,1.0628148148148149,1.0666666666666667,0.3985555555555556,False,0.1333333333333333,12.287999999999998,12.287999999999998,0.011055555555555556,142.54313123770163,134.11850234938473,141.06624,138.25047758846063,verified,0.9974011,False,False,1,False,5847.6,1601.4,False,250.0,804.7,860,0.0,4.0,24,85783,2529.7000000000003,379.3333333333333,"Czechia, CZ",595.71.05,5481510.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45174336,144003,451840,,RTX 3090,3090-pcie-24gb,3090,PCIe,4,0.5,0.8025185185185184,0.26666666666666666,0.4012592592592592,False,0.22666666666666668,2.6666666666666665,4.0,0.008333333333333333,144.8436763823767,180.48639755972732,141.06624,115.71184450704583,unverified,0.9670002,True,False,0,False,823.9,395.4,True,350.0,805.3,860,0.0,3.0,192,128869,3202.0,1586.25,", CN",580.159.03,6482947.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,36130603,34333,148689,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.5,0.20148148148148146,0.06666667,0.4029629629629629,False,0.1333333333333333,40.0,40.0,0.008333333333333333,44.63921737691689,221.5549391869037,35.26656,145.51335920037135,deverified,0.9992521,True,False,0,False,866.7,862.5,True,350.0,826.7,860,0.0,4.0,64,64336,3511.0,356.45,"Belgium, BE",565.57.01,15814231.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,39124065,137429,54814,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,0.3333333333333333,0.2688888888888889,0.45333333333333337,0.4033333333333334,False,0.19999999999999998,2.6666666666666665,4.0,0.005555555555555556,88.72152084081439,329.95606924269816,70.53312,302.9386800265465,unverified,0.9773797,False,False,0,False,4320.6,1373.7,True,350.0,805.1,860,0.0,4.0,64,42888,2254.703293216879,1050.5333333333333,"Czechia, CZ",580.159.03,10888002.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,36683054,57538,379235,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,0.4,0.32296296296296295,0.32,0.4037037037037037,False,0.2666666666666666,2.6666666666666665,4.0,0.006666666666666667,84.27268715334168,260.93607260782403,71.036928,216.98750195162611,deverified,0.9900134,False,False,0,False,927.9,920.2,False,350.0,801.2,860,0.0,4.0,64,64306,1961.0,1024.8,"Estonia, EE",580.126.09,8646172.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45061383,142396,594304,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.5,0.20296296296296296,0.2,0.4059259259259259,False,0.2666666666666666,9.333333333333334,9.333333333333334,0.008333333333333333,44.84434922304307,220.94843595294944,35.770368,197.17026231337024,deverified,0.986439,False,False,0,False,4440.8,2286.5,True,350.0,805.3,860,0.0,4.0,24,63941,5582.8,642.05,"France, FR",595.71.05,15690383.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,32353631,14425,85323,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.3333333333333333,0.13555555555555554,0.10666666666666667,0.4066666666666666,False,0.19999999999999998,0.0026666666666666666,0.004,0.005555555555555556,44.821495042083264,330.65037326127003,35.770368,279.04971668378886,deverified,0.99123,True,False,0,True,857.9,852.3,False,390.0,803.6,860,0.0,3.0,32,32166,485.0,323.0,"Quebec, CA",580.126.09,199590.98572969437
