as_of_date,collected_at,collection_window_id,gpu_name,silicon_id,n_offers,per_gpu_dph_min,per_gpu_dph_p10,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,min_bid_p50,n_verified,n_deverified,n_other_verification,median_verified,median_deverified,n_1x,n_2x,n_4x,n_8x,n_other_multigpu,reliability_p25,reliability_p50,reliability_p75,inet_down_p50_mbps,inet_down_p75_mbps,inet_up_p50_mbps,egress_cost_per_tb_p50,storage_cost_per_gb_mo_p50,methodology_version
2026-06-19,2026-06-19T15:55:08.416594+00:00,2026-06-19-1000,A100 SXM4,a100-sxm-80gb,143,0.4003703703703703,0.7761710463209874,1.0722222222222222,1.8708148148148147,3.6097777777777775,5.878518518518519,16.00888888888889,1.4666666666666668,130,4,9,1.9447198148148148,6.001388888888889,42,38,34,27,2,0.9849854,0.9943921,0.9971408,3526.4,7187.6,2134.9,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-19,2026-06-19T20:23:24.018721+00:00,2026-06-19-1400,A100 SXM4,a100-sxm-80gb,142,0.4003703703703703,0.7335185185185186,1.0439212962962963,1.6027777777777776,3.211851851851851,5.87851851851852,12.554666666666666,1.33366675,132,1,9,1.8024444444444443,0.9388888888888888,43,36,34,26,3,0.988846,0.99532595,0.9978492,4149.5,7264.3,2134.9,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-20,2026-06-20T05:00:59.951279+00:00,2026-06-19-1800,A100 SXM4,a100-sxm-80gb,153,0.4003703703703703,0.7335185185185187,1.0406666666666666,1.6018518518518516,3.2029629629629626,5.6311087407407445,11.427247407407409,1.4,132,7,14,1.6427777777777777,2.136,44,40,38,28,3,0.9867844,0.9948095,0.9977486,4375.9,7187.6,2140.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-20,2026-06-20T09:54:16.987358+00:00,2026-06-19-1800,A100 SXM4,a100-sxm-80gb,159,0.4003703703703703,0.7308518518518519,1.037942037037037,1.6037037037037036,3.2051851851851847,5.739553185185189,11.427247407407409,1.3333335,132,7,20,1.6427777777777777,2.136,46,42,40,28,3,0.9847308,0.9945455,0.9971818,4298.3,7012.1,2140.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-20,2026-06-20T14:58:34.695501+00:00,2026-06-20-0600,A100 SXM4,a100-sxm-80gb,157,0.4003703703703703,0.7335185185185186,1.0240824105815638,1.6059259259259258,3.4696296296296296,5.878518518518519,11.427247407407409,1.4666666666666668,129,9,19,1.734074074074074,1.8888888888888886,47,40,39,28,3,0.9862081,0.9944139,0.9972272,4298.3,7187.6,2154.0,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-20,2026-06-20T20:08:22.074064+00:00,2026-06-20-1400,A100 SXM4,a100-sxm-80gb,160,0.4003703703703703,0.6688888888888889,0.9344166666666667,1.601296296296296,3.278518518518518,5.87851851851852,11.427247407407409,1.3667500000000001,129,10,21,1.6818518518518517,1.1006111111111112,50,40,39,28,3,0.9848141,0.9942354,0.9976041,4298.3,7187.6,2140.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-21,2026-06-21T05:30:57.863740+00:00,2026-06-20-1800,A100 SXM4,a100-sxm-80gb,157,0.35488888888888875,0.6688888888888889,0.9343703703703703,1.6007407407407406,3.2029629629629626,5.394074074074078,10.257777777777777,1.334,129,10,18,1.6818518518518517,1.1006111111111112,49,39,39,27,3,0.9862081,0.9948419,0.9976041,4245.1,7187.6,2140.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-21,2026-06-21T10:23:00.138930+00:00,2026-06-20-1800,A100 SXM4,a100-sxm-80gb,159,0.34822222222222204,0.6688888888888889,0.9345432098765432,1.468888888888889,3.0725925925925925,5.2325925925926065,10.524444444444443,1.3995000000000002,132,7,20,1.6427777777777777,0.9388888888888888,50,40,39,27,3,0.9850227,0.9944139,0.9976041,3824.2,7187.6,2098.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-21,2026-06-21T15:04:29.353529+00:00,2026-06-21-1000,A100 SXM4,a100-sxm-80gb,158,0.4003703703703703,0.6669166666666666,0.9344567901234567,1.6022222222222222,3.206296296296296,5.503111111111117,10.15111111111111,1.347,131,7,20,1.734074074074074,0.9388888888888888,50,40,38,27,3,0.9833836,0.9941506,0.9974990499999999,4245.1,7611.925,2140.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-21,2026-06-21T20:19:37.017362+00:00,2026-06-21-1400,A100 SXM4,a100-sxm-80gb,158,0.4003703703703703,0.6688888888888889,0.9475833333333332,1.5087037037037037,2.940740740740741,4.7067555555555565,10.524444444444443,1.33333335,139,7,12,1.734074074074074,0.9388888888888888,46,43,37,30,2,0.9833165,0.9945907,0.9972569,4215.8,7225.1,2166.8,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-22,2026-06-22T06:13:19.805252+00:00,2026-06-21-1800,A100 SXM4,a100-sxm-80gb,153,0.4003703703703703,0.7335185185185187,1.0002777777777778,1.602222222222222,3.736296296296296,5.878518518518519,11.427247407407409,1.4666666666666668,141,2,10,1.8674074074074072,0.9038888888888889,45,42,35,29,2,0.9865562,0.9951661,0.9972755,4508.7,7746.4,2442.7,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-22,2026-06-22T12:39:28.360519+00:00,2026-06-22-0600,A100 SXM4,a100-sxm-80gb,152,0.4003703703703703,0.7113518518518519,0.9344166666666667,1.6014814814814813,3.2088888888888887,5.441777777777779,11.427247407407409,1.347,135,6,11,1.8151851851851852,1.0764444444444443,46,40,37,27,2,0.983832,0.99495005,0.9972786,4537.15,7435.7,2225.7,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-22,2026-06-22T17:19:45.372779+00:00,2026-06-22-1000,A100 SXM4,a100-sxm-80gb,152,0.4003703703703703,0.7335185185185186,0.9328518518518519,1.4674074074074075,3.2044444444444444,4.661066666666667,10.524444444444443,1.3231666,135,6,11,1.6007407407407406,1.0764444444444443,47,39,35,28,3,0.986054575,0.9948229,0.9979207,4390.7,7769.1,2225.7,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-22,2026-06-22T21:26:55.248944+00:00,2026-06-22-1400,A100 SXM4,a100-sxm-80gb,148,0.4003703703703703,0.7335185185185186,0.9335185185185185,1.5085185185185184,3.1262962962962964,4.851466666666671,10.15111111111111,1.3333334166666666,128,9,11,1.6688888888888889,1.0806666666666667,46,38,34,27,3,0.9836345,0.9943473,0.9972165,4351.5,7383.549999999999,2123.2,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-22,2026-06-23T04:47:42.719439+00:00,2026-06-22-1800,A100 SXM4,a100-sxm-80gb,149,0.26685185185185184,0.7335185185185186,0.9335185185185185,1.4677777777777778,3.2088888888888887,5.381925925925936,10.524444444444443,1.3333335,132,6,11,1.6022222222222222,1.0697777777777777,48,38,35,27,1,0.9837618,0.9939201,0.9972827,4480.3,7793.0,2413.0,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-23,2026-06-23T10:24:38.252374+00:00,2026-06-22-1800,A100 SXM4,a100-sxm-80gb,150,0.26685185185185184,0.7296481481481483,0.9335185185185185,1.4674074074074075,2.9374074074074072,5.319851851851848,10.524444444444443,1.3333335,132,7,11,1.6022222222222222,1.0722222222222222,48,38,35,28,1,0.983783,0.9925437,0.9967782,4334.8,7769.1,2127.4,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-23,2026-06-23T15:40:54.899364+00:00,2026-06-23-1000,A100 SXM4,a100-sxm-80gb,148,0.1335185185185185,0.7335833333333334,0.9479629629629629,1.5081481481481482,3.205925925925926,5.283555555555557,10.524444444444443,1.370000125,126,9,13,1.6688888888888889,0.9335185185185185,46,38,34,28,2,0.9858923,0.995161,0.9973447750000001,4299.7,7523.1,2155.8,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-23,2026-06-23T20:56:51.029972+00:00,2026-06-23-1400,A100 SXM4,a100-sxm-80gb,153,0.1335185185185185,0.7335370370370371,0.9477037037037036,1.6007407407407406,3.4696296296296296,5.770370370370377,10.257777777777777,1.4666666666666668,127,12,14,1.8674074074074072,1.0764444444444443,48,39,36,28,2,0.9850989,0.9954919,0.9973526,4299.7,7474.9,2122.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-23,2026-06-24T04:53:51.445338+00:00,2026-06-23-1800,A100 SXM4,a100-sxm-80gb,147,0.1335185185185185,0.7337222222222224,1.047175925925926,1.6014814814814813,3.21037037037037,5.426074074074078,10.524444444444443,1.4666666666666668,124,11,12,1.8674074074074072,1.8674074074074072,46,37,35,27,2,0.9866431499999999,0.9946946,0.9972072000000001,4569.8,7317.1,2109.9,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-24,2026-06-24T10:04:33.145355+00:00,2026-06-23-1800,A100 SXM4,a100-sxm-80gb,145,0.1335185185185185,0.7335555555555556,1.0072174074074074,1.5214814814814812,3.0459259259259257,5.02592474074074,10.524444444444443,1.3995000000000002,122,11,12,1.6688888888888889,1.8674074074074072,45,36,36,26,2,0.9866999,0.9946203,0.9971621,4324.8,7317.1,2128.5,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,A100 SXM4,a100-sxm-80gb,148,0.1335185185185185,0.7337407407407408,0.9872037037037037,1.5349999999999997,3.0596296296296295,5.189118716444446,10.524444444444443,1.4033334583333334,128,9,11,1.8007407407407405,1.0722222222222222,47,36,36,27,2,0.986698925,0.9946714,0.9973882,4251.0,7394.349999999999,2026.5,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-24,2026-06-24T20:26:25.207896+00:00,2026-06-24-1400,A100 SXM4,a100-sxm-80gb,151,0.4003703703703703,0.7335185185185186,0.9335185185185185,1.4674074074074075,2.9362962962962964,5.071111111111111,10.524444444444443,1.2,131,8,12,1.6007407407407406,1.0764444444444443,48,37,36,27,3,0.9871388999999999,0.9948144,0.9975333,4303.8,7307.25,1955.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-24,2026-06-25T04:52:23.914826+00:00,2026-06-24-1800,A100 SXM4,a100-sxm-80gb,141,0.1335185185185185,0.7336111111111112,0.9335185185185185,1.5485185185185184,3.2088888888888887,4.810666666666666,10.524444444444443,1.3333333333333333,122,8,11,1.8007407407407405,0.9705555555555556,44,35,35,24,3,0.9838653,0.9947737,0.9972428,3479.7,7219.3,1835.7,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-25,2026-06-25T10:00:41.740146+00:00,2026-06-24-1800,A100 SXM4,a100-sxm-80gb,146,0.1335185185185185,0.7470833333333333,0.9752174074074076,1.5945545607407403,3.207407407407407,4.940888888888889,10.257777777777777,1.4,127,8,11,1.8674074074074072,0.9705555555555556,45,36,38,25,2,0.9870494,0.9952223,0.99755365,4257.2,7227.325000000001,1847.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-25,2026-06-25T15:33:52.044629+00:00,2026-06-25-1000,A100 SXM4,a100-sxm-80gb,141,0.1335185185185185,0.7337962962962964,0.9480493827160493,1.5394929807407405,3.0804674429629624,5.343703703703704,10.524444444444443,1.334,120,10,11,1.8674074074074072,1.0258888888888889,45,35,34,24,3,0.9858025,0.9944233,0.9969079,4303.8,7123.3,1867.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-25,2026-06-25T20:37:52.965309+00:00,2026-06-25-1400,A100 SXM4,a100-sxm-80gb,139,0.1335185185185185,0.7335185185185186,0.9335185185185185,1.4685185185185186,3.1244444444444444,5.736770370370372,11.413333333333334,1.36,122,6,11,1.6688888888888889,0.8688888888888889,45,35,33,25,1,0.9883663,0.9948854,0.9974401,4349.7,7382.0,1847.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-25,2026-06-26T04:59:12.874166+00:00,2026-06-25-1800,A100 SXM4,a100-sxm-80gb,138,0.1335185185185185,0.7335833333333334,0.9556666666666667,1.4949999999999999,3.164021862962963,5.295888,10.787247407407408,1.342,122,5,11,1.8007407407407405,0.8688888888888889,44,35,34,24,1,0.988283275,0.9944586,0.9971723,4272.2,7575.825000000001,1890.8,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-26,2026-06-26T10:03:35.477309+00:00,2026-06-25-1800,A100 SXM4,a100-sxm-80gb,137,0.1335185185185185,0.7496666666666667,0.9477037037037036,1.5396610607407413,3.080803602962964,5.228591407407409,10.257777777777777,1.4666666666666668,117,9,11,1.8674074074074072,1.0722222222222222,44,33,35,24,1,0.9880779,0.9947745,0.9971838,4272.2,7211.6,1904.0,2.6666666666666665,0.19999999999999998,v2.0.0
