as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-06-14,global,4,3,0.5,0.0,1.0,0.6667,8,v2.2.0
2026-06-14,tier:T1,2,2,0.5,0.0,1.0,0.5,8,v2.2.0
2026-06-14,tier:T2,1,1,1.0,1.0,1.0,1.0,8,v2.2.0
2026-06-14,tier:T3,1,0,0.0,0.0,0.0,,8,v2.2.0
2026-06-15,geo:US,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-06-15,global,4,3,0.5,0.0,1.0,0.6667,5,v2.2.0
2026-06-15,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-06-15,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-06-15,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-06-16,geo:EU,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-16,geo:US,2,2,0.875,0.75,1.0,0.875,4,v2.2.0
2026-06-16,global,5,3,0.55,0.0,1.0,0.9167,4,v2.2.0
2026-06-16,tier:T1,2,2,0.875,0.75,1.0,0.875,4,v2.2.0
2026-06-16,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-16,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-17,geo:EU,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-17,geo:US,2,2,0.625,0.25,1.0,0.625,4,v2.2.0
2026-06-17,global,5,3,0.45,0.0,1.0,0.75,4,v2.2.0
2026-06-17,tier:T1,2,2,0.625,0.25,1.0,0.625,4,v2.2.0
2026-06-17,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-17,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-18,geo:EU,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-18,geo:US,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-18,global,5,3,0.4,0.0,1.0,0.6667,4,v2.2.0
2026-06-18,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-18,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-18,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-19,geo:EU,1,0,0.2,0.2,0.2,,5,v2.2.0
2026-06-19,geo:US,2,2,0.8,0.6,1.0,0.8,5,v2.2.0
2026-06-19,global,5,3,0.56,0.0,1.0,0.8667,5,v2.2.0
2026-06-19,tier:T1,2,2,0.8,0.6,1.0,0.8,5,v2.2.0
2026-06-19,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-06-19,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-06-20,geo:EU,1,0,0.0,0.0,0.0,,3,v2.2.0
2026-06-20,geo:US,2,2,0.6667,0.3333,1.0,0.6667,3,v2.2.0
2026-06-20,global,5,3,0.4667,0.0,1.0,0.7778,3,v2.2.0
2026-06-20,tier:T1,2,2,0.6667,0.3333,1.0,0.6667,3,v2.2.0
2026-06-20,tier:T2,1,1,1.0,1.0,1.0,1.0,3,v2.2.0
2026-06-20,tier:T3,1,0,0.0,0.0,0.0,,3,v2.2.0
2026-06-21,geo:EU,1,0,0.0,0.0,0.0,,3,v2.2.0
2026-06-21,geo:US,3,2,0.4167,0.0,1.0,0.625,4,v2.2.0
2026-06-21,global,5,3,0.4,0.0,1.0,0.6667,4,v2.2.0
2026-06-21,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-21,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-21,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-22,geo:US,2,2,0.75,0.5,1.0,0.75,4,v2.2.0
