as_of_date,collected_at,collection_window_id,source_name,source_display_name,silicon_id,gpu_model,form_factor,commitment_term,interruptibility,region,cheapest_usd_hour,median_usd_hour,n_listings,methodology_version
2026-05-30,2026-05-30T22:31:28.453914+00:00,2026-05-30-1400,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-05-30,2026-05-30T22:31:28.453914+00:00,2026-05-30-1400,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
2026-05-30,2026-05-30T22:31:28.453914+00:00,2026-05-30-1400,runpod_secure,RunPod · Secure,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.4900,,,v2.0.0
2026-05-31,2026-05-31T09:30:08.682594+00:00,2026-05-30-1800,vast_ai_verified,Vast.ai (verified),a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.1333,1.1333,1,v2.0.0
2026-05-31,2026-05-31T09:30:10.273639+00:00,2026-05-30-1800,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-05-31,2026-05-31T09:30:10.273639+00:00,2026-05-30-1800,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
2026-05-31,2026-05-31T09:30:10.273639+00:00,2026-05-30-1800,runpod_secure,RunPod · Secure,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.4900,,,v2.0.0
2026-05-31,2026-05-31T14:17:48.653384+00:00,2026-05-31-0600,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-05-31,2026-05-31T14:17:48.653384+00:00,2026-05-31-0600,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
2026-05-31,2026-05-31T14:17:48.653384+00:00,2026-05-31-0600,runpod_secure,RunPod · Secure,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.4900,,,v2.0.0
